"data","dosesAplicadas"
"01/17/2021","323087"
"01/18/2021","2333"
"01/19/2021","61541"
"01/20/2021","349583"
"01/21/2021","390009"
"01/22/2021","346902"
"01/23/2021","84210"
"01/24/2021","34209"
"01/25/2021","224521"
"01/26/2021","259145"
"01/27/2021","304799"
"01/28/2021","335781"
"01/29/2021","298344"
"01/30/2021","75803"
"01/31/2021","34780"
"02/01/2021","240921"
"02/02/2021","273918"
"02/03/2021","295274"
"02/04/2021","332129"
"02/05/2021","304757"
"02/06/2021","93794"
"02/07/2021","29644"
"02/08/2021","279107"
"02/09/2021","297427"
"02/10/2021","357231"
"02/11/2021","453455"
"02/12/2021","500093"
"02/13/2021","134104"
"02/14/2021","41930"
"02/15/2021","317434"
"02/16/2021","306268"
"02/17/2021","356850"
"02/18/2021","414119"
"02/19/2021","314068"
"02/20/2021","56142"
"02/21/2021","14865"
"02/22/2021","231730"
"02/23/2021","211519"
"02/24/2021","183721"
"02/25/2021","199440"
"02/26/2021","299033"
"02/27/2021","238484"
"02/28/2021","61473"
"03/01/2021","507330"
"03/02/2021","526228"
"03/03/2021","617182"
"03/04/2021","523790"
"03/05/2021","517438"
"03/06/2021","238053"
"03/07/2021","54747"
"03/08/2021","446903"
"03/09/2021","411227"
"03/10/2021","450630"
"03/11/2021","460332"
"03/12/2021","469471"
"03/13/2021","198811"
"03/14/2021","40514"
"03/15/2021","520005"
"03/16/2021","425116"
"03/17/2021","362242"
"03/18/2021","434253"
"03/19/2021","720853"
"03/20/2021","376866"
"03/21/2021","82493"
"03/22/2021","657619"
"03/23/2021","822337"
"03/24/2021","1012328"
"03/25/2021","1068818"
"03/26/2021","1084717"
"03/27/2021","758363"
"03/28/2021","225706"
"03/29/2021","1038966"
"03/30/2021","1180894"
"03/31/2021","1054688"
"04/01/2021","755666"
"04/02/2021","261106"
"04/03/2021","435125"
"04/04/2021","83652"
"04/05/2021","1032671"
"04/06/2021","866655"
"04/07/2021","799663"
"04/08/2021","695405"
"04/09/2021","894487"
"04/10/2021","619067"
"04/11/2021","110480"
"04/12/2021","953645"
"04/13/2021","852704"
"04/14/2021","831936"
"04/15/2021","867985"
"04/16/2021","1012864"
"04/17/2021","653505"
"04/18/2021","146601"
"04/19/2021","1184053"
"04/20/2021","1437987"
"04/21/2021","786513"
"04/22/2021","1410864"
"04/23/2021","1211800"
"04/24/2021","633050"
"04/25/2021","140167"
"04/26/2021","1126641"
"04/27/2021","1069215"
"04/28/2021","1005167"
"04/29/2021","931544"
"04/30/2021","730912"
"05/01/2021","331903"
"05/02/2021","109504"
"05/03/2021","857402"
"05/04/2021","932934"
"05/05/2021","1055765"
"05/06/2021","1158183"
"05/07/2021","919187"
"05/08/2021","475474"
"05/09/2021","35170"
"05/10/2021","754049"
"05/11/2021","811520"
"05/12/2021","811342"
"05/13/2021","749274"
"05/14/2021","883154"
"05/15/2021","536902"
"05/16/2021","152381"
"05/17/2021","756797"
"05/18/2021","901633"
"05/19/2021","880830"
"05/20/2021","967960"
"05/21/2021","932082"
"05/22/2021","425256"
"05/23/2021","65499"
"05/24/2021","768101"
"05/25/2021","825296"
"05/26/2021","794667"
"05/27/2021","839001"
"05/28/2021","918357"
"05/29/2021","424831"
"05/30/2021","64020"
"05/31/2021","731927"
"06/01/2021","980597"
"06/02/2021","1168566"
"06/03/2021","494836"
"06/04/2021","747434"
"06/05/2021","456492"
"06/06/2021","84663"
"06/07/2021","1029483"
"06/08/2021","1137972"
"06/09/2021","1146477"
"06/10/2021","1143500"
"06/11/2021","1227732"
"06/12/2021","821304"
"06/13/2021","187251"
"06/14/2021","1161685"
"06/15/2021","1346061"
"06/16/2021","1541553"
"06/17/2021","1423887"
"06/18/2021","1349836"
"06/19/2021","1098022"
"06/20/2021","232837"
"06/21/2021","1193037"
"06/22/2021","1251180"
"06/23/2021","1215263"
"06/24/2021","989496"
"06/25/2021","1113381"
"06/26/2021","948357"
"06/27/2021","159900"
"06/28/2021","1369381"
"06/29/2021","1418457"
"06/30/2021","1385637"
"07/01/2021","1184687"
"07/02/2021","1339479"
"07/03/2021","858222"
"07/04/2021","187649"
"07/05/2021","1393099"
"07/06/2021","1653576"
"07/07/2021","1774606"
"07/08/2021","1582147"
"07/09/2021","1383359"
"07/10/2021","876057"
"07/11/2021","137070"
"07/12/2021","1410810"
"07/13/2021","1302080"
"07/14/2021","1274089"
"07/15/2021","1230895"
"07/16/2021","1393304"
"07/17/2021","1086185"
"07/18/2021","125814"
"07/19/2021","1546544"
"07/20/2021","1518778"
"07/21/2021","1590030"
"07/22/2021","1709967"
"07/23/2021","1657248"
"07/24/2021","752069"
"07/25/2021","115008"
"07/26/2021","1217827"
"07/27/2021","1301663"
"07/28/2021","1200251"
"07/29/2021","1394453"
"07/30/2021","1335285"
"07/31/2021","587333"
"08/01/2021","107443"
"08/02/2021","1110043"
"08/03/2021","1208491"
"08/04/2021","1039805"
"08/05/2021","2"
